DATE,VISITS
2008-01-01,170.0
2008-01-02,144.0
2008-01-03,226.0
2008-01-04,238.0
2008-01-05,113.0
2008-01-06,340.0
2008-01-07,44.0
2008-01-08,180.0
2008-01-09,257.0
2008-01-10,205.0
2008-01-11,178.0
2008-01-12,168.0
2008-01-13,183.0
2008-01-14,244.0
2008-01-15,189.0
2008-01-16,165.0
2008-01-17,191.0
2008-01-18,227.0
2008-01-19,184.0
2008-01-20,170.0
2008-01-21,200.0
2008-01-22,232.0
2008-01-23,187.0
2008-01-24,205.0
2008-01-25,218.0
2008-01-26,180.0
2008-01-27,169.0
2008-01-28,233.0
2008-01-29,200.0
2008-01-30,192.0
2008-01-31,184.0
2008-02-01,261.0
2008-02-02,193.0
2008-02-03,199.0
2008-02-04,242.0
2008-02-05,211.0
2008-02-06,189.0
2008-02-07,182.0
2008-02-08,193.0
2008-02-09,192.0
2008-02-10,166.0
2008-02-11,186.0
2008-02-12,190.0
2008-02-13,196.0
2008-02-14,173.0
2008-02-15,230.0
2008-02-16,157.0
2008-02-17,154.0
2008-02-18,249.0
2008-02-19,241.0
2008-02-20,212.0
2008-02-21,189.0
2008-02-22,198.0
2008-02-23,200.0
2008-02-24,177.0
2008-02-25,233.0
2008-02-26,212.0
2008-02-27,188.0
2008-02-28,164.0
2008-02-29,216.0
2008-03-01,166.0
2008-03-02,168.0
2008-03-03,232.0
2008-03-04,221.0
2008-03-05,211.0
2008-03-06,187.0
2008-03-07,210.0
2008-03-08,174.0
2008-03-09,150.0
2008-03-10,203.0
2008-03-11,229.0
2008-03-12,158.0
2008-03-13,186.0
2008-03-14,198.0
2008-03-15,206.0
2008-03-16,212.0
2008-03-17,219.0
2008-03-18,234.0
2008-03-19,225.0
2008-03-20,204.0
2008-03-21,185.0
2008-03-22,185.0
2008-03-23,184.0
2008-03-24,215.0
2008-03-25,244.0
2008-03-26,191.0
2008-03-27,262.0
2008-03-28,327.0
2008-03-29,75.0
2008-03-30,176.0
2008-03-31,258.0
2008-04-01,155.0
2008-04-02,193.0
2008-04-03,248.0
2008-04-04,279.0
2008-04-05,204.0
2008-04-06,192.0
2008-04-07,255.0
2008-04-08,255.0
2008-04-09,270.0
2008-04-10,235.0
2008-04-11,152.0
2008-04-12,178.0
2008-04-13,177.0
2008-04-14,264.0
2008-04-15,191.0
2008-04-16,190.0
2008-04-17,227.0
2008-04-18,205.0
2008-04-19,178.0
2008-04-20,178.0
2008-04-21,325.0
2008-04-22,146.0
2008-04-23,202.0
2008-04-24,239.0
2008-04-25,234.0
2008-04-26,249.0
2008-04-27,165.0
2008-04-28,62.0
2008-04-29,230.0
2008-04-30,184.0
2008-05-01,202.0
2008-05-02,204.0
2008-05-03,243.0
2008-05-04,303.0
2008-05-05,118.0
2008-05-06,231.0
2008-05-07,146.0
2008-05-08,274.0
2008-05-09,193.0
2008-05-10,137.0
2008-05-11,185.0
2008-05-12,253.0
2008-05-13,228.0
2008-05-14,194.0
2008-05-15,236.0
2008-05-16,202.0
2008-05-17,163.0
2008-05-18,189.0
2008-05-19,185.0
2008-05-20,221.0
2008-05-21,196.0
2008-05-22,189.0
2008-05-23,207.0
2008-05-24,312.0
2008-05-25,65.0
2008-05-26,221.0
2008-05-27,248.0
2008-05-28,223.0
2008-05-29,194.0
2008-05-30,223.0
2008-05-31,172.0
2008-06-01,180.0
2008-06-02,292.0
2008-06-03,147.0
2008-06-04,221.0
2008-06-05,218.0
2008-06-06,248.0
2008-06-07,183.0
2008-06-08,176.0
2008-06-09,217.0
2008-06-10,315.0
2008-06-11,169.0
2008-06-12,224.0
2008-06-13,258.0
2008-06-14,160.0
2008-06-15,188.0
2008-06-16,208.0
2008-06-17,212.0
2008-06-18,159.0
2008-06-19,198.0
2008-06-20,153.0
2008-06-21,193.0
2008-06-22,256.0
2008-06-23,234.0
2008-06-24,211.0
2008-06-25,198.0
2008-06-26,216.0
2008-06-27,216.0
2008-06-28,184.0
2008-06-29,164.0
2008-06-30,312.0
2008-07-01,91.0
2008-07-02,219.0
2008-07-03,193.0
2008-07-04,281.0
2008-07-05,180.0
2008-07-06,361.0
2008-07-07,78.0
2008-07-08,198.0
2008-07-09,200.0
2008-07-10,267.0
2008-07-11,249.0
2008-07-12,247.0
2008-07-13,191.0
2008-07-14,236.0
2008-07-15,227.0
2008-07-16,130.0
2008-07-17,187.0
2008-07-18,194.0
2008-07-19,215.0
2008-07-20,183.0
2008-07-21,235.0
2008-07-22,313.0
2008-07-23,241.0
2008-07-24,221.0
2008-07-25,222.0
2008-07-26,190.0
2008-07-27,222.0
2008-07-28,255.0
2008-07-29,247.0
2008-07-30,299.0
2008-07-31,249.0
2008-08-01,243.0
2008-08-02,136.0
2008-08-03,188.0
2008-08-04,255.0
2008-08-05,230.0
2008-08-06,229.0
2008-08-07,190.0
2008-08-08,251.0
2008-08-09,183.0
2008-08-10,146.0
2008-08-11,250.0
2008-08-12,258.0
2008-08-13,217.0
2008-08-14,206.0
2008-08-15,230.0
2008-08-16,197.0
2008-08-17,157.0
2008-08-18,224.0
2008-08-19,221.0
2008-08-20,199.0
2008-08-21,211.0
2008-08-22,219.0
2008-08-23,221.0
2008-08-24,149.0
2008-08-25,168.0
2008-08-26,218.0
2008-08-27,216.0
2008-08-28,252.0
2008-08-29,213.0
2008-08-30,234.0
2008-08-31,127.0
2008-09-01,222.0
2008-09-02,216.0
2008-09-03,190.0
2008-09-04,202.0
2008-09-05,237.0
2008-09-06,220.0
2008-09-07,162.0
2008-09-08,212.0
2008-09-09,152.0
2008-09-10,284.0
2008-09-11,311.0
2008-09-12,141.0
2008-09-13,138.0
2008-09-14,223.0
2008-09-15,243.0
2008-09-16,121.0
2008-09-17,358.0
2008-09-18,187.0
2008-09-19,208.0
2008-09-20,211.0
2008-09-21,187.0
2008-09-22,236.0
2008-09-23,224.0
2008-09-24,174.0
2008-09-25,220.0
2008-09-26,221.0
2008-09-27,150.0
2008-09-28,205.0
2008-09-29,227.0
