DATE,VISITS
2009-10-26,249.0
2009-10-27,257.0
2009-10-28,183.0
2009-10-29,260.0
2009-10-30,199.0
2009-10-31,128.0
2009-11-01,94.0
2009-11-02,174.0
2009-11-03,243.0
2009-11-04,223.0
2009-11-05,239.0
2009-11-06,217.0
2009-11-07,179.0
2009-11-08,192.0
2009-11-09,250.0
2009-11-10,250.0
2009-11-11,235.0
2009-11-12,237.0
2009-11-13,238.0
2009-11-14,167.0
2009-11-15,174.0
2009-11-16,140.0
2009-11-17,271.0
2009-11-18,298.0
2009-11-19,252.0
2009-11-20,228.0
2009-11-21,219.0
2009-11-22,188.0
2009-11-23,269.0
2009-11-24,279.0
2009-11-25,238.0
2009-11-26,263.0
2009-11-27,273.0
2009-11-28,135.0
2009-11-29,190.0
2009-11-30,238.0
2009-12-01,242.0
2009-12-02,204.0
2009-12-03,235.0
2009-12-04,214.0
2009-12-05,216.0
2009-12-06,224.0
2009-12-07,235.0
2009-12-08,198.0
2009-12-09,236.0
2009-12-10,263.0
2009-12-11,213.0
2009-12-12,208.0
2009-12-13,168.0
2009-12-14,272.0
2009-12-15,238.0
2009-12-16,246.0
2009-12-17,245.0
2009-12-18,202.0
2009-12-19,206.0
2009-12-20,197.0
2009-12-21,255.0
2009-12-22,181.0
2009-12-23,240.0
2009-12-24,173.0
2009-12-25,245.0
2009-12-26,224.0
2009-12-27,214.0
2009-12-28,188.0
2009-12-29,252.0
2009-12-30,228.0
2009-12-31,173.0
2010-01-01,200.0
2010-01-02,227.0
2010-01-03,161.0
2010-01-04,223.0
2010-01-05,191.0
2010-01-06,195.0
2010-01-07,232.0
2010-01-08,252.0
2010-01-09,152.0
2010-01-10,144.0
2010-01-11,184.0
2010-01-12,202.0
2010-01-13,236.0
2010-01-14,171.0
2010-01-15,196.0
2010-01-16,146.0
2010-01-17,132.0
2010-01-18,244.0
2010-01-19,252.0
2010-01-20,197.0
2010-01-21,198.0
2010-01-22,223.0
2010-01-23,159.0
2010-01-24,209.0
2010-01-25,214.0
2010-01-26,254.0
2010-01-27,262.0
2010-01-28,247.0
2010-01-29,212.0
2010-01-30,223.0
2010-01-31,141.0
2010-02-01,208.0
2010-02-02,194.0
2010-02-03,188.0
2010-02-04,208.0
2010-02-05,218.0
2010-02-06,173.0
2010-02-07,203.0
2010-02-08,207.0
2010-02-09,317.0
2010-02-10,220.0
2010-02-11,220.0
2010-02-12,206.0
2010-02-13,200.0
2010-02-14,174.0
2010-02-15,231.0
2010-02-16,239.0
2010-02-17,185.0
2010-02-18,183.0
2010-02-19,263.0
2010-02-20,90.0
2010-02-21,160.0
2010-02-22,243.0
2010-02-23,260.0
2010-02-24,246.0
2010-02-25,206.0
2010-02-26,238.0
2010-02-27,207.0
2010-02-28,175.0
2010-03-01,260.0
2010-03-02,267.0
2010-03-03,239.0
2010-03-04,221.0
2010-03-05,213.0
2010-03-06,211.0
2010-03-07,191.0
2010-03-08,255.0
2010-03-09,263.0
2010-03-10,258.0
2010-03-11,253.0
2010-03-12,259.0
2010-03-13,198.0
2010-03-14,181.0
2010-03-15,172.0
2010-03-16,282.0
2010-03-17,237.0
2010-03-18,247.0
2010-03-19,246.0
2010-03-20,205.0
2010-03-21,196.0
2010-03-22,277.0
2010-03-23,251.0
2010-03-24,263.0
2010-03-25,208.0
2010-03-26,258.0
2010-03-27,221.0
2010-03-28,209.0
2010-03-29,248.0
2010-03-30,231.0
2010-03-31,205.0
2010-04-01,223.0
2010-04-02,160.0
2010-04-03,237.0
2010-04-04,216.0
2010-04-05,258.0
2010-04-06,297.0
2010-04-07,276.0
2010-04-08,277.0
2010-04-09,266.0
2010-04-10,231.0
2010-04-11,234.0
2010-04-12,329.0
2010-04-13,326.0
2010-04-14,286.0
2010-04-15,312.0
2010-04-16,280.0
2010-04-17,277.0
2010-04-18,235.0
2010-04-19,274.0
2010-04-20,283.0
2010-04-21,240.0
2010-04-22,273.0
2010-04-23,265.0
2010-04-24,213.0
2010-04-25,227.0
2010-04-26,217.0
2010-04-27,283.0
2010-04-28,248.0
2010-04-29,290.0
2010-04-30,246.0
2010-05-01,219.0
2010-05-02,167.0
2010-05-03,277.0
2010-05-04,321.0
2010-05-05,247.0
2010-05-06,318.0
2010-05-07,250.0
2010-05-08,211.0
2010-05-09,219.0
2010-05-10,183.0
2010-05-11,274.0
2010-05-12,310.0
2010-05-13,255.0
2010-05-14,278.0
2010-05-15,219.0
2010-05-16,178.0
2010-05-17,298.0
2010-05-18,302.0
2010-05-19,248.0
2010-05-20,289.0
2010-05-21,294.0
2010-05-22,270.0
2010-05-23,205.0
2010-05-24,292.0
2010-05-25,293.0
2010-05-26,256.0
2010-05-27,299.0
2010-05-28,323.0
2010-05-29,172.0
2010-05-30,160.0
2010-05-31,272.0
2010-06-01,352.0
2010-06-02,252.0
2010-06-03,325.0
2010-06-04,307.0
2010-06-05,261.0
2010-06-06,202.0
2010-06-07,331.0
2010-06-08,280.0
