DATE,VISITS
2008-01-01,162.0
2008-01-02,208.0
2008-01-03,158.0
2008-01-04,153.0
2008-01-05,110.0
2008-01-06,124.0
2008-01-07,147.0
2008-01-08,135.0
2008-01-09,199.0
2008-01-10,194.0
2008-01-11,217.0
2008-01-12,133.0
2008-01-13,181.0
2008-01-14,188.0
2008-01-15,175.0
2008-01-16,192.0
2008-01-17,139.0
2008-01-18,114.0
2008-01-19,170.0
2008-01-20,184.0
2008-01-21,167.0
2008-01-22,163.0
2008-01-23,177.0
2008-01-24,141.0
2008-01-25,119.0
2008-01-26,131.0
2008-01-27,135.0
2008-01-28,217.0
2008-01-29,192.0
2008-01-30,179.0
2008-01-31,172.0
2008-02-01,149.0
2008-02-02,168.0
2008-02-03,154.0
2008-02-04,135.0
2008-02-05,197.0
2008-02-06,222.0
2008-02-07,212.0
2008-02-08,175.0
2008-02-09,163.0
2008-02-10,157.0
2008-02-11,192.0
2008-02-12,183.0
2008-02-13,203.0
2008-02-14,194.0
2008-02-15,201.0
2008-02-16,153.0
2008-02-17,135.0
2008-02-18,233.0
2008-02-19,208.0
2008-02-20,181.0
2008-02-21,200.0
2008-02-22,222.0
2008-02-23,148.0
2008-02-24,152.0
2008-02-25,167.0
2008-02-26,265.0
2008-02-27,221.0
2008-02-28,207.0
2008-02-29,215.0
2008-03-01,133.0
2008-03-02,197.0
2008-03-03,211.0
2008-03-04,242.0
2008-03-05,244.0
2008-03-06,182.0
2008-03-07,189.0
2008-03-08,193.0
2008-03-09,174.0
2008-03-10,207.0
2008-03-11,226.0
2008-03-12,211.0
2008-03-13,126.0
2008-03-14,222.0
2008-03-15,146.0
2008-03-16,146.0
2008-03-17,197.0
2008-03-18,163.0
2008-03-19,170.0
2008-03-20,161.0
2008-03-21,116.0
2008-03-22,153.0
2008-03-23,162.0
2008-03-24,181.0
2008-03-25,196.0
2008-03-26,187.0
2008-03-27,214.0
2008-03-28,219.0
2008-03-29,94.0
2008-03-30,233.0
2008-03-31,210.0
2008-04-01,225.0
2008-04-02,198.0
2008-04-03,216.0
2008-04-04,250.0
2008-04-05,139.0
2008-04-06,200.0
2008-04-07,212.0
2008-04-08,202.0
2008-04-09,215.0
2008-04-10,198.0
2008-04-11,220.0
2008-04-12,116.0
2008-04-13,144.0
2008-04-14,205.0
2008-04-15,161.0
2008-04-16,180.0
2008-04-17,221.0
2008-04-18,170.0
2008-04-19,121.0
2008-04-20,161.0
2008-04-21,167.0
2008-04-22,227.0
2008-04-23,146.0
2008-04-24,141.0
2008-04-25,206.0
2008-04-26,90.0
2008-04-27,184.0
2008-04-28,172.0
2008-04-29,234.0
2008-04-30,208.0
2008-05-01,136.0
2008-05-02,212.0
2008-05-03,93.0
2008-05-04,149.0
2008-05-05,223.0
2008-05-06,133.0
2008-05-07,174.0
2008-05-08,144.0
2008-05-09,136.0
2008-05-10,28.0
