DATE,VISITS
2008-02-01,72.0
2008-02-02,89.0
2008-02-03,74.0
2008-02-04,72.0
2008-02-05,92.0
2008-02-06,64.0
2008-02-07,68.0
2008-02-08,71.0
2008-02-09,86.0
2008-02-10,84.0
2008-02-11,69.0
2008-02-12,80.0
2008-02-13,59.0
2008-02-14,68.0
2008-02-15,62.0
2008-02-16,57.0
2008-02-17,105.0
2008-02-18,89.0
2008-02-19,77.0
2008-02-20,71.0
2008-02-21,85.0
2008-02-22,77.0
2008-02-23,89.0
2008-02-24,110.0
2008-02-25,80.0
2008-02-26,94.0
2008-02-27,68.0
2008-02-28,80.0
2008-02-29,75.0
2008-03-01,98.0
2008-03-02,82.0
2008-03-03,69.0
2008-03-04,76.0
2008-03-05,76.0
2008-03-06,83.0
2008-03-07,73.0
2008-03-08,81.0
2008-03-09,98.0
2008-03-10,89.0
2008-03-11,83.0
2008-03-12,64.0
2008-03-13,85.0
2008-03-14,79.0
2008-03-15,93.0
2008-03-16,89.0
2008-03-17,80.0
2008-03-18,105.0
2008-03-19,71.0
2008-03-20,79.0
2008-03-21,63.0
2008-03-22,80.0
2008-03-23,104.0
2008-03-24,84.0
2008-03-25,70.0
2008-03-26,171.0
2008-03-27,127.0
2008-03-28,164.0
2008-03-29,155.0
2008-03-30,173.0
2008-03-31,157.0
2008-04-01,161.0
2008-04-02,142.0
2008-04-03,159.0
2008-04-04,130.0
2008-04-05,146.0
2008-04-06,101.0
2008-04-07,170.0
2008-04-08,111.0
2008-04-09,126.0
2008-04-10,149.0
2008-04-11,192.0
2008-04-12,134.0
2008-04-13,128.0
2008-04-14,137.0
2008-04-15,150.0
2008-04-16,129.0
2008-04-17,123.0
2008-04-18,148.0
2008-04-19,144.0
2008-04-20,139.0
2008-04-21,152.0
2008-04-22,167.0
2008-04-23,160.0
2008-04-24,140.0
2008-04-25,129.0
2008-04-26,142.0
2008-04-27,113.0
2008-04-28,137.0
2008-04-29,152.0
2008-04-30,65.0
2008-05-01,158.0
2008-05-02,124.0
2008-05-03,140.0
2008-05-04,142.0
2008-05-05,138.0
2008-05-06,137.0
2008-05-07,63.0
2008-05-08,125.0
