DATE,VISITS
2008-01-01,108.0
2008-01-02,123.0
2008-01-03,125.0
2008-01-04,142.0
2008-01-05,52.0
2008-01-06,113.0
2008-01-07,136.0
2008-01-08,131.0
2008-01-09,126.0
2008-01-10,138.0
2008-01-11,115.0
2008-01-12,122.0
2008-01-13,115.0
2008-01-14,166.0
2008-01-15,134.0
2008-01-16,114.0
2008-01-17,98.0
2008-01-18,101.0
2008-01-19,87.0
2008-01-20,113.0
2008-01-21,134.0
2008-01-22,110.0
2008-01-23,120.0
2008-01-24,142.0
2008-01-25,101.0
2008-01-26,105.0
2008-01-27,108.0
2008-01-28,119.0
2008-01-29,110.0
2008-01-30,110.0
2008-01-31,106.0
2008-02-01,120.0
2008-02-02,71.0
2008-02-03,118.0
2008-02-04,104.0
2008-02-05,121.0
2008-02-06,111.0
2008-02-07,114.0
2008-02-08,110.0
2008-02-09,116.0
2008-02-10,64.0
2008-02-11,128.0
2008-02-12,100.0
2008-02-13,107.0
2008-02-14,113.0
2008-02-15,92.0
2008-02-16,86.0
2008-02-17,89.0
2008-02-18,95.0
2008-02-19,113.0
2008-02-20,117.0
2008-02-21,91.0
2008-02-22,110.0
2008-02-23,91.0
2008-02-24,106.0
2008-02-25,145.0
2008-02-26,120.0
2008-02-27,121.0
2008-02-28,121.0
2008-02-29,153.0
2008-03-01,135.0
2008-03-02,106.0
2008-03-03,156.0
2008-03-04,91.0
2008-03-05,93.0
2008-03-06,132.0
2008-03-07,89.0
2008-03-08,89.0
2008-03-09,110.0
2008-03-10,170.0
2008-03-11,80.0
2008-03-12,97.0
2008-03-13,86.0
2008-03-14,121.0
2008-03-15,120.0
2008-03-16,101.0
2008-03-17,117.0
2008-03-18,94.0
2008-03-19,96.0
2008-03-20,97.0
2008-03-21,88.0
2008-03-22,127.0
2008-03-23,104.0
2008-03-24,146.0
2008-03-25,129.0
2008-03-26,106.0
2008-03-27,114.0
2008-03-28,118.0
2008-03-29,96.0
2008-03-30,108.0
2008-03-31,123.0
2008-04-01,134.0
2008-04-02,118.0
2008-04-03,135.0
2008-04-04,109.0
2008-04-05,96.0
2008-04-06,101.0
2008-04-07,163.0
2008-04-08,110.0
2008-04-09,120.0
2008-04-10,113.0
2008-04-11,128.0
2008-04-12,97.0
2008-04-13,81.0
2008-04-14,114.0
2008-04-15,112.0
2008-04-16,121.0
2008-04-17,113.0
2008-04-18,98.0
2008-04-19,108.0
2008-04-20,94.0
2008-04-21,143.0
2008-04-22,122.0
2008-04-23,127.0
2008-04-24,110.0
2008-04-25,122.0
2008-04-26,124.0
2008-04-27,112.0
2008-04-28,130.0
2008-04-29,83.0
2008-04-30,120.0
2008-05-01,90.0
2008-05-02,119.0
2008-05-03,108.0
2008-05-04,102.0
2008-05-05,120.0
2008-05-06,139.0
2008-05-07,123.0
2008-05-08,111.0
2008-05-09,109.0
2008-05-10,104.0
2008-05-11,109.0
2008-05-12,151.0
2008-05-13,128.0
2008-05-14,127.0
2008-05-15,108.0
2008-05-16,120.0
2008-05-17,111.0
2008-05-18,123.0
2008-05-19,132.0
2008-05-20,81.0
2008-05-21,111.0
2008-05-22,108.0
2008-05-23,100.0
2008-05-24,50.0
2008-05-25,73.0
2008-05-26,137.0
2008-05-27,120.0
2008-05-28,127.0
2008-05-29,111.0
2008-05-30,94.0
2008-05-31,80.0
2008-06-01,102.0
2008-06-02,135.0
2008-06-03,131.0
2008-06-04,114.0
2008-06-05,116.0
2008-06-06,114.0
2008-06-07,109.0
2008-06-08,88.0
2008-06-09,120.0
2008-06-10,108.0
2008-06-11,127.0
2008-06-12,112.0
2008-06-13,115.0
2008-06-14,77.0
2008-06-15,109.0
2008-06-16,140.0
2008-06-17,114.0
2008-06-18,122.0
2008-06-19,104.0
2008-06-20,121.0
2008-06-21,88.0
2008-06-22,100.0
2008-06-23,140.0
2008-06-24,120.0
2008-06-25,123.0
2008-06-26,116.0
2008-06-27,88.0
2008-06-28,71.0
2008-06-29,117.0
2008-06-30,128.0
2008-07-01,95.0
2008-07-02,120.0
2008-07-03,115.0
2008-07-04,124.0
2008-07-05,117.0
2008-07-06,87.0
2008-07-07,148.0
2008-07-08,113.0
2008-07-09,133.0
2008-07-10,122.0
2008-07-11,145.0
2008-07-12,133.0
2008-07-13,113.0
2008-07-14,140.0
2008-07-15,134.0
2008-07-16,117.0
2008-07-17,136.0
2008-07-18,106.0
2008-07-19,123.0
2008-07-20,118.0
2008-07-21,160.0
2008-07-22,129.0
2008-07-23,148.0
2008-07-24,116.0
2008-07-25,116.0
2008-07-26,110.0
2008-07-27,135.0
2008-07-28,145.0
2008-07-29,126.0
2008-07-30,141.0
2008-07-31,117.0
2008-08-01,127.0
2008-08-02,109.0
2008-08-03,105.0
2008-08-04,171.0
2008-08-05,148.0
2008-08-06,141.0
2008-08-07,116.0
2008-08-08,138.0
2008-08-09,106.0
2008-08-10,112.0
2008-08-11,169.0
2008-08-12,151.0
2008-08-13,133.0
2008-08-14,119.0
2008-08-15,141.0
2008-08-16,122.0
2008-08-17,120.0
2008-08-18,148.0
2008-08-19,125.0
2008-08-20,121.0
2008-08-21,105.0
2008-08-22,100.0
2008-08-23,84.0
2008-08-24,120.0
2008-08-25,153.0
2008-08-26,110.0
2008-08-27,134.0
2008-08-28,123.0
2008-08-29,115.0
2008-08-30,114.0
2008-08-31,113.0
2008-09-01,139.0
2008-09-02,97.0
2008-09-03,110.0
2008-09-04,104.0
2008-09-05,121.0
2008-09-06,117.0
2008-09-07,94.0
2008-09-08,130.0
2008-09-09,116.0
2008-09-10,117.0
2008-09-11,125.0
2008-09-12,133.0
2008-09-13,108.0
2008-09-14,108.0
2008-09-15,117.0
2008-09-16,78.0
2008-09-17,137.0
2008-09-18,122.0
2008-09-19,137.0
2008-09-20,102.0
2008-09-21,115.0
2008-09-22,142.0
2008-09-23,109.0
2008-09-24,101.0
2008-09-25,113.0
2008-09-26,108.0
2008-09-27,148.0
2008-09-28,117.0
2008-09-29,109.0
2008-09-30,97.0
2008-10-01,131.0
2008-10-02,111.0
2008-10-03,118.0
2008-10-04,126.0
2008-10-05,111.0
2008-10-06,158.0
2008-10-07,116.0
2008-10-08,118.0
2008-10-09,115.0
2008-10-10,125.0
2008-10-11,122.0
2008-10-12,96.0
2008-10-13,167.0
2008-10-14,140.0
2008-10-15,114.0
2008-10-16,135.0
2008-10-17,120.0
2008-10-18,115.0
2008-10-19,115.0
2008-10-20,130.0
2008-10-21,113.0
2008-10-22,122.0
2008-10-23,114.0
2008-10-24,113.0
2008-10-25,106.0
2008-10-26,114.0
2008-10-27,128.0
2008-10-28,98.0
2008-10-29,109.0
2008-10-30,90.0
2008-10-31,103.0
2008-11-01,114.0
2008-11-02,110.0
2008-11-03,102.0
2008-11-04,140.0
2008-11-05,115.0
2008-11-06,107.0
2008-11-07,133.0
2008-11-08,115.0
2008-11-09,111.0
2008-11-10,135.0
2008-11-11,105.0
2008-11-12,116.0
2008-11-13,118.0
2008-11-14,105.0
2008-11-15,111.0
2008-11-16,99.0
2008-11-17,124.0
2008-11-18,126.0
2008-11-19,90.0
2008-11-20,101.0
2008-11-21,89.0
2008-11-22,114.0
2008-11-23,119.0
2008-11-24,136.0
2008-11-25,104.0
2008-11-26,115.0
2008-11-27,126.0
2008-11-28,91.0
2008-11-29,101.0
2008-11-30,106.0
2008-12-01,130.0
2008-12-02,107.0
